,Country,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia Residual,Country Code,2017_lifeexp,NHLY,2017_co2,2017_ch4,2017_n2o,2017_pop,2017_extcostratio,2017_llpp_who,PCEC,ERHNI
48,Japan,5.92000007629395,1.41691517829895,1.43633782863617,0.913475871086121,0.505625545978546,0.12057276815176,0.163760736584663,1.36322355270386,JPN,84.099756097561,7.737178202605868,1151930.0,21220.0,18080.0,126972000.0,0.37744060695990567,0.58999997,4.513499770500001,6.0336001097149525
49,Lithuania,5.90199995040894,1.31458234786987,1.47351610660553,0.62894994020462,0.234231784939766,0.010164656676352,0.0118656428530812,2.22844052314758,LTU,75.4804878048781,6.8083396256842645,11220.0,3230.0,3660.0,2828403.0,2.8551868265744544,0.60000002,4.590000153,-6.296968345136066
50,Algeria,5.87200021743774,1.09186446666718,1.1462174654007,0.617584645748138,0.233335807919502,0.0694366469979286,0.146096110343933,2.56760382652283,DZA,76.499,6.670714463376965,145100.0,49460.0,11920.0,41389174.0,0.7843734021005078,0.13,0.9944999999999999,5.89065511498801
51,Latvia,5.84999990463257,1.26074862480164,1.40471494197845,0.638566970825195,0.325707912445068,0.153074786067009,0.0738427266478539,1.99365520477295,LVA,74.6292682926829,6.343487093157895,7120.0,1960.0,1920.0,1942248.0,2.2045133360187745,0.66000003,5.049000229499999,-4.7871012463367055
52,South Korea,5.83799982070923,1.40167844295502,1.12827444076538,0.900214076042175,0.257921665906906,0.206674367189407,0.0632826685905457,1.88037800788879,KOR,82.6268292682927,6.924126811260147,625350.0,25600.0,10600.0,51361911.0,0.5763664742818422,1.54,11.780999999999999,0.13395337774576532
53,Moldova,5.83799982070923,0.728870630264282,1.25182557106018,0.589465200901031,0.240729048848152,0.208779126405716,0.0100912861526012,2.80780839920044,MDA,71.717,6.009883314180388,8160.0,3370.0,1060.0,2755158.0,0.9842273638599666,1.17,8.9505,-2.799443706048243
54,Romania,5.82499980926514,1.21768391132355,1.15009129047394,0.685158312320709,0.457003742456436,0.133519917726517,0.00438790069893,2.17683148384094,ROU,75.309756097561,6.2130534416292065,74100.0,24130.0,8500.0,19588715.0,1.0923693218149115,1.28,9.792000000000002,-4.4834269575824095
55,Bolivia,5.82299995422363,0.833756566047668,1.22761905193329,0.473630249500275,0.558732926845551,0.22556072473526,0.0604777261614799,2.44327902793884,BOL,70.945,5.8387731752395435,22250.0,24870.0,8850.0,11192853.0,1.9546815362563537,2.0899999,15.988499234999999,-25.41365107186379
56,Turkmenistan,5.82200002670288,1.13077676296234,1.49314916133881,0.437726080417633,0.41827192902565,0.24992498755455,0.259270340204239,1.83290982246399,TKM,67.956,5.585983381462092,71960.0,49870.0,3430.0,5757667.0,2.522295927874523,0.47999999,3.6719999235,-3.6758870727375195
57,Kazakhstan,5.81899976730347,1.28455626964569,1.38436901569366,0.606041550636292,0.437454283237457,0.201964423060417,0.119282886385918,1.78489255905151,KAZ,72.95,5.974603302478817,225560.0,43290.0,13380.0,18037776.0,1.9486541457704096,0.95999998,7.343999847,-8.336312445914986
58,North Cyprus,5.80999994277954,1.3469113111496,1.18630337715149,0.834647238254547,0.471203625202179,0.266845703125,0.155353352427483,1.54915761947632,CYP,80.672,6.534431538391106,7300.0,730.0,370.0,1179685.0,0.7746075451043478,0.66000003,5.049000229499999,2.6234378653868227
59,Slovenia,5.75799989700317,1.3412059545517,1.45251882076263,0.790828227996826,0.572575807571411,0.242649093270302,0.0451289787888527,1.31331729888916,SVN,81.0292682926829,6.14201770200959,14140.0,2000.0,790.0,2066388.0,0.9693814265872869,1.02,7.803,-1.422065569651009
60,Peru,5.71500015258789,1.03522527217865,1.21877038478851,0.630166113376617,0.450002878904343,0.126819714903831,0.0470490865409374,2.20726943016052,PER,76.286,5.454450164031976,53990.0,31110.0,9800.0,31444299.0,0.7925506992499132,1.954120098,14.949018749699999,-6.393405099142821
61,Mauritius,5.62900018692017,1.18939554691315,1.20956099033356,0.638007462024689,0.491247326135635,0.360933750867844,0.0421815551817417,1.6975839138031,MUS,74.5146341463415,4.686971880633686,4180.0,1910.0,230.0,1264613.0,0.6081979919505439,0.0,0.0,4.686971880633686
62,Cyprus,5.62099981307983,1.35593807697296,1.13136327266693,0.84471470117569,0.355111539363861,0.271254301071167,0.0412379764020443,1.62124919891357,CYP,80.672,5.009729692077609,7300.0,730.0,370.0,1179685.0,0.7746075451043478,0.66000003,5.049000229499999,1.0987360190733257
63,Estonia,5.61100006103516,1.32087934017181,1.47667109966278,0.695168316364288,0.479131430387497,0.0988908112049103,0.183248922228813,1.35750865936279,EST,78.0926829268293,4.771463403469209,16280.0,1060.0,1360.0,1317384.0,2.3241275767889773,0.059999999,0.45899999234999994,3.7046888635026445
64,Belarus,5.56899976730347,1.15655755996704,1.44494521617889,0.637714266777039,0.295400261878967,0.15513750910759,0.156313821673393,1.72323298454285,BLR,74.1292682926829,4.217953640891309,56240.0,16720.0,12160.0,9458989.0,2.9383123200485777,0.77999997,5.9669997705,-13.314955298495878
65,Libya,5.52500009536743,1.10180306434631,1.35756433010101,0.520169019699097,0.465733230113983,0.152073666453362,0.0926102101802826,1.83501124382019,LBY,72.52,3.8073006916046013,56810.0,33840.0,1950.0,6580723.0,1.387225404790626,0.20999999,1.6064999235,1.5787231849312042
66,Turkey,5.5,1.19827437400818,1.33775317668915,0.637605607509613,0.300740599632263,0.0466930419206619,0.0996715798974037,1.87927794456482,TUR,77.161,3.8580500000000004,415900.0,44980.0,34620.0,81116451.0,0.99196415621544,1.72,13.158000000000001,-9.19421436748276
67,Paraguay,5.49300003051758,0.932537317276001,1.50728487968445,0.579250693321228,0.473507791757584,0.224150657653809,0.091065913438797,1.6853334903717,PRY,73.992,3.647805825805678,8000.0,30100.0,10940.0,6867058.0,3.906414369357689,0.75,5.7375,-18.76524661838406
68,Philippines,5.42999982833862,0.85769921541214,1.25391757488251,0.468009054660797,0.585214674472809,0.193513423204422,0.0993318930268288,1.97260475158691,PHL,70.952,3.0509347820281794,136590.0,67430.0,14330.0,105172921.0,0.3792816365676877,1.17,8.9505,-0.34382550607090945
69,Serbia,5.39499998092651,1.06931757926941,1.25818979740143,0.65078467130661,0.208715528249741,0.220125883817673,0.0409037806093693,1.94708442687988,SRB,75.5390243902439,2.983791319335352,46900.0,12430.0,4590.0,7020858.0,1.6403880050143802,1.65,12.622499999999999,-17.72200627395866
70,Jordan,5.33599996566772,0.991012394428253,1.23908889293671,0.604590058326721,0.418421149253845,0.172170460224152,0.11980327218771,1.79117655754089,JOR,74.292,2.496210944938627,26100.0,6160.0,1260.0,9785840.0,0.3712997135842425,1.15,8.7975,-0.7702982853187463
71,Hungary,5.32399988174438,1.2860119342804,1.34313309192657,0.687763452529907,0.175863519310951,0.0784016624093056,0.0366369374096394,1.71645927429199,HUN,75.8170731707317,2.45647227415221,46550.0,7140.0,5450.0,9787966.0,1.2821218270219588,1.21,9.256499999999999,-9.41148841767655
72,Jamaica,5.31099987030029,0.925579309463501,1.36821806430817,0.641022384166718,0.474307239055634,0.233818337321281,0.0552677810192108,1.61232566833496,JAM,74.267,2.309702736759166,7190.0,790.0,410.0,2920848.0,0.34372021798277635,0.56999999,4.3604999235,0.8109107525398662
73,Croatia,5.29300022125244,1.22255623340607,0.96798300743103,0.701288521289825,0.255772292613983,0.248002976179123,0.0431031100451946,1.85449242591858,HRV,77.8268292682927,2.2803278194985603,17480.0,3760.0,1760.0,4124531.0,1.03578561234799,1.16,8.873999999999999,-6.911233704477502
74,China,5.27299976348877,1.08116579055786,1.16083741188049,0.741415500640869,0.472787708044052,0.0288068410009146,0.0227942746132612,1.76493859291077,CHN,76.47,2.0876291913986273,10017770.0,1239130.0,542100.0,1396215000.0,0.97264162217326,3.48,26.622,-23.8060360740979
75,Pakistan,5.26900005340576,0.72688353061676,0.672690689563751,0.402047783136368,0.23521526157856,0.315446019172668,0.124348066747189,2.79248929023743,PAK,66.947,1.8008746575355412,197700.0,147540.0,60070.0,207906210.0,0.7014725314051216,3.5699999,27.310499235,-17.356690374777546
76,Indonesia,5.26200008392334,0.995538592338562,1.27444469928741,0.492345720529556,0.443323463201523,0.611704587936401,0.0153171354904771,1.42947697639465,IDN,71.282,1.867588998222351,532920.0,283940.0,92500.0,264650969.0,0.8842791597633647,1.11,8.4915,-5.64126748690826
77,Venezuela,5.25,1.12843120098114,1.43133759498596,0.617144227027893,0.153997123241425,0.0650196298956871,0.0644911229610443,1.78946375846863,VEN,72.246,1.80615,148740.0,72500.0,13030.0,29402480.0,1.2923363940992985,0.81999999,6.2729999235000005,-6.300676101321167
78,Montenegro,5.23699998855591,1.12112903594971,1.23837649822235,0.667464673519135,0.194989055395126,0.197911024093628,0.0881741940975189,1.72919154167175,MNE,76.4853658536585,1.8127030832011652,2230.0,830.0,180.0,622373.0,0.8067675421227516,1.15,8.7975,-5.284834368623741
79,Morocco,5.2350001335144,0.878114581108093,0.774864435195923,0.59771066904068,0.408158332109451,0.0322099551558495,0.0877631828188896,2.45618939399719,MAR,76.218,1.7911240176200531,65930.0,17390.0,9300.0,35581257.0,0.6197682201793363,0.2,1.5300000000000002,0.8428786407456684
80,Azerbaijan,5.23400020599365,1.15360176563263,1.15240025520325,0.540775775909424,0.398155838251114,0.0452693402767181,0.180987507104874,1.76248168945312,AZE,72.693,1.7010176974296376,31970.0,44230.0,3870.0,9854033.0,1.4588902386915612,0.76999998,5.890499847,-6.892575030372797
81,Dominican Republic,5.23000001907349,1.07937383651733,1.40241670608521,0.574873745441437,0.55258983373642,0.186967849731445,0.113945253193378,1.31946516036987,DOM,73.689,1.6948471405506396,23390.0,9100.0,3280.0,10513111.0,0.7793121777090622,0.25999999,1.9889999235,0.14479527870469644
82,Greece,5.22700023651123,1.28948748111725,1.23941457271576,0.810198903083801,0.0957312509417534,0.0,0.04328977689147,1.74922156333923,GRC,81.2878048780488,1.8452350932795762,66800.0,9460.0,4460.0,10754679.0,1.0196659725026191,0.64999998,4.972499847,-3.2250537989808037
83,Lebanon,5.22499990463257,1.07498753070831,1.12962424755096,0.735081076622009,0.288515985012054,0.264450758695602,0.037513829767704,1.69507384300232,LBN,78.833,1.77374174818994,29280.0,3170.0,760.0,6819373.0,0.3234118567805716,1.0700001,8.185500764999999,-0.8735462528974987
84,Portugal,5.19500017166138,1.3151752948761,1.36704301834106,0.795843541622162,0.498465299606323,0.0951027125120163,0.0158694516867399,1.10768270492554,PRT,81.4243902439025,1.587777007498415,53330.0,11510.0,3240.0,10300300.0,0.839438178720374,0.14,1.0710000000000002,0.6887387180888943
85,Bosnia and Herzegovina,5.18200016021729,0.982409417629242,1.0693359375,0.705186307430267,0.204403176903725,0.328867495059967,0.0,1.89217257499695,BIH,77.128,1.4037308357239113,22650.0,3420.0,1210.0,3351534.0,0.9322643424097682,2.1199999,16.217999235,-13.715731556295488
86,Honduras,5.18100023269653,0.730573117733002,1.14394497871399,0.582569479942322,0.348079860210419,0.236188873648643,0.0733454525470734,2.06581115722656,HND,74.898,1.3556555428504677,9000.0,8010.0,3120.0,9429016.0,0.8076024570076835,1.66,12.698999999999998,-8.900088058690104
87,Macedonia,5.17500019073486,1.06457793712616,1.20789301395416,0.644948184490204,0.325905978679657,0.25376096367836,0.0602777935564518,1.6174693107605,MKD,75.9536585365854,1.3291904730912851,7860.0,2520.0,570.0,2074502.0,0.7617203224045592,1.95,14.917499999999999,-10.033772436378726
88,Somalia,5.15100002288818,0.0226431842893362,0.721151351928711,0.113989137113094,0.602126955986023,0.291631311178207,0.282410323619843,3.11748456954956,SOM,56.709,0.8563060297965803,660.0,19400.0,6600.0,14589165.0,1.119275766144036,0.28999999,2.2184999235,-1.6268071717693675
89,Vietnam,5.07399988174438,0.788547575473785,1.27749133110046,0.652168989181519,0.571055591106415,0.234968051314354,0.0876332372426987,1.46231865882874,VNM,75.241,0.556782510232892,222130.0,88650.0,23790.0,94600643.0,0.6653019629228373,2.0699999,15.835499234999999,-9.978606214675695
90,Nigeria,5.07399988174438,0.783756256103516,1.21577048301697,0.0569157302379608,0.394952565431595,0.230947196483612,0.0261215660721064,2.36539053916931,NGA,53.95,0.3992293620109319,112920.0,126830.0,37290.0,190873247.0,0.49977308580843516,1.75,13.387500000000001,-6.291482824249495
91,Tajikistan,5.04099988937378,0.524713635444641,1.27146327495575,0.529235124588013,0.471566706895828,0.248997643589973,0.146377146244049,1.84904932975769,TJK,70.647,0.2896519184589449,6370.0,5490.0,1970.0,8880270.0,0.5487579255615692,1.2,9.18,-4.7479458381962605
92,Bhutan,5.01100015640259,0.885416388511658,1.34012651443481,0.495879292488098,0.501537680625916,0.474054545164108,0.173380389809608,1.14018440246582,BTN,71.129,0.07824301247598005,1330.0,870.0,180.0,745563.0,0.6729291768699736,2.0999999,16.064999235,-10.732363699149325
93,Kyrgyzstan,5.00400018692017,0.596220076084137,1.39423859119415,0.553457796573639,0.454943388700485,0.42858037352562,0.0394391790032387,1.53672313690186,KGZ,71.2,0.028481330871607327,9340.0,4880.0,1850.0,6198200.0,0.7357159656229479,1.0700001,8.185500764999999,-5.993722268557746
94,Nepal,4.96199989318848,0.479820191860199,1.17928326129913,0.504130780696869,0.440305948257446,0.394096165895462,0.0729755461215973,1.8912410736084,NPL,70.169,-0.26664294948575384,11030.0,30510.0,7960.0,27632682.0,0.7511419812555029,3.9000001,29.835000765,-22.6769645348673
95,Mongolia,4.95499992370605,1.02723586559296,1.4930112361908,0.557783484458923,0.394143968820572,0.338464230298996,0.0329022891819477,1.11129236221313,MNG,69.509,-0.31279103031161537,19470.0,17950.0,13240.0,3113788.0,9.618004240705563,2.9000001,22.185000765,-213.68822246813778
96,South Africa,4.8289999961853,1.05469870567322,1.38478863239288,0.187080070376396,0.479246735572815,0.139362379908562,0.0725094974040985,1.51090860366821,ZAF,63.538,-1.0864998242378405,435140.0,44990.0,19150.0,57009751.0,0.8539499901377078,1.61,12.316500000000001,-11.60417487776892
