,Country,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Country Code,2018_lifeexp,NHLY,2018_co2,2018_ch4,2018_n2o,2018_pop,2018_extcostratio,2018_llpp_who,PCEC,ERHNI
79,China,5.246,0.989,1.142,0.799,0.597,0.029,0.103,CHN,76.704,1.8869184000000032,10313460.0,1238630.0,538790.0,1402760000.0,0.974598176000924,2.99,22.8735,-20.405552978757132
80,Azerbaijan,5.201,1.024,1.161,0.603,0.43,0.031,0.176,AZE,72.864,1.4645663999999976,32020.0,43600.0,4160.0,9939771.0,1.5132057425248449,0.55000001,4.2075000765,-4.902246877433527
81,Tajikistan,5.199,0.474,1.166,0.598,0.292,0.187,0.034,TJK,70.879,1.4104920999999992,7330.0,5520.0,1980.0,9100847.0,0.5444785859068609,0.88,6.732,-2.254937740324989
82,Macedonia,5.185,0.959,1.239,0.691,0.394,0.173,0.052,MKD,76.6487804878049,1.4180024390243877,7370.0,2520.0,550.0,2076217.0,0.7473256886170854,1.95,14.917499999999999,-9.730228520920981
83,Jordan,5.161,0.822,1.265,0.645,0.468,0.13,0.134,JOR,74.405,1.1979204999999968,24700.0,6300.0,1250.0,9965322.0,0.36734337721466204,1.15,8.7975,-2.0337828610459923
84,Nigeria,5.155,0.689,1.172,0.048,0.462,0.201,0.032,NGA,54.332,0.8421460000000014,130670.0,127900.0,37420.0,195874685.0,0.4948292066781961,1.8099999,13.846499235,-6.009506231725298
85,Kyrgyzstan,5.131,0.53,1.416,0.594,0.54,0.281,0.035,KGZ,71.4,0.9353400000000017,11000.0,4990.0,1990.0,6322800.0,0.7790700089593818,0.94999999,7.267499923499999,-4.726551230513449
86,Bosnia and Herzegovina,5.129,0.915,1.078,0.758,0.28,0.216,0.0,BIH,77.262,0.9966797999999967,22540.0,3380.0,1090.0,3323929.0,0.8725979783151526,2.02,15.453,-12.487576758904055
87,Mongolia,5.125,0.914,1.517,0.575,0.395,0.253,0.032,MNG,69.689,0.8711125,21320.0,17860.0,13190.0,3170214.0,9.511886220285522,2.3800001,18.207000765,-172.31180718933146
88,Vietnam,5.103,0.715,1.365,0.702,0.618,0.177,0.079,VNM,75.317,0.7757650999999981,257860.0,87750.0,24080.0,95545959.0,0.673064883927677,1.84,14.076000000000002,-8.698296206165987
89,Indonesia,5.093,0.899,1.215,0.522,0.538,0.484,0.018,IDN,71.509,0.6650336999999998,583110.0,287500.0,95690.0,267670549.0,0.9113523954330934,1.3099999,10.021499235,-8.468083633648163
90,Bhutan,5.082,0.796,1.335,0.527,0.541,0.364,0.171,BTN,71.46,0.5859719999999988,1380.0,860.0,190.0,754396.0,0.6981517914408671,2.3099999,17.671499235000002,-11.751416848361167
91,Somalia,4.982,0.0,0.712,0.115,0.674,0.238,0.282,SOM,57.068,-0.10272239999999883,690.0,19430.0,6570.0,15008225.0,1.0954430248909646,0.34999999,2.6774999235,-3.035771015344165
92,Cameroon,4.975,0.535,0.891,0.182,0.454,0.183,0.043,CMR,58.921,-0.14730250000000208,8620.0,14960.0,62710.0,25216261.0,5.269085055483264,2.49,19.048500000000004,-100.51546917937297
93,Bulgaria,4.933,1.054,1.515,0.712,0.359,0.064,0.009,BGR,74.9634146341464,-0.5022548780487822,41130.0,6910.0,4050.0,7025037.0,1.379761423346413,1.3,9.945,-14.223982233228861
94,Nepal,4.88,0.425,1.228,0.539,0.526,0.302,0.078,NPL,70.478,-0.8457360000000007,12030.0,30800.0,8330.0,28095712.0,0.7755719163743882,4.29,32.8185,-26.29884293753286
95,Venezuela,4.806,0.996,1.469,0.657,0.133,0.056,0.052,VEN,72.128,-1.3992831999999997,138160.0,72340.0,13540.0,28887117.0,1.3625928711200823,0.64999998,4.972499847,-8.174776043167899
96,Gabon,4.758,1.036,1.164,0.404,0.356,0.032,0.052,GAB,66.187,-1.6017253999999999,4610.0,1120.0,430.0,2119275.0,0.5121092239586653,1.7,13.004999999999999,-8.261705857582442
97,South Africa,4.724,0.94,1.41,0.33,0.516,0.103,0.056,ZAF,63.857,-1.7624531999999988,433250.0,45140.0,18820.0,57792520.0,0.8393707764523682,1.61,12.316500000000001,-12.100563368175594
98,Iran,4.707,1.059,0.771,0.691,0.459,0.282,0.129,IRN,76.479,-2.240834700000001,629290.0,149690.0,37580.0,81800204.0,1.2675593743410452,1.13,8.644499999999999,-13.198251711491164
99,Ghana,4.657,0.592,0.896,0.337,0.499,0.212,0.029,GHA,63.78,-2.1876539999999998,16110.0,21350.0,5790.0,29767108.0,0.5102869466648463,0.79000002,6.043500153,-5.271573240242901
100,Senegal,4.631,0.429,1.117,0.433,0.406,0.138,0.082,SEN,67.665,-2.496838499999999,9860.0,10750.0,7820.0,15854324.0,1.127894689345391,0.029999999,0.22949999234999996,-2.755690322576372
101,Laos,4.623,0.72,1.034,0.441,0.626,0.23,0.174,LAO,67.61,-2.548896999999999,18790.0,7610.0,2740.0,7061498.0,0.9787278370788947,1.85,14.152500000000002,-16.400342714259057
102,Tunisia,4.592,0.9,0.906,0.69,0.271,0.04,0.063,TUN,76.505,-3.1214040000000027,29980.0,6420.0,3320.0,11565203.0,0.6940915114464592,0.31999999,2.4479999235,-4.820539966922934
