,Country,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Country Code,2016_lifeexp,NHLY,2016_co2,2016_ch4,2016_n2o,2016_pop,2016_extcostratio,2016_llpp_who,PCEC,ERHNI,Year
50,Kazakhstan,Central and Eastern Europe,5.919,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,2.49325,KAZ,72.41,6.654479,223020,40060,10150,17794055,1.581775529,0.88,6.732,-3.994033861,2016
51,Moldova,Central and Eastern Europe,5.897,0.69177,0.83132,0.52309,0.25202,0.01903,0.19997,3.38007,MDA,71.617,6.4240449,8140,3370,1030,2802170,0.949893492,0.94999999,7.267499923,-0.479305983,2016
52,Russia,Central and Eastern Europe,5.856,1.23228,1.05261,0.58991,0.32682,0.03586,0.02736,2.59115,RUS,71.65121951,6.13334439,1530900,852550,58060,144342397,1.733478785,0.68000001,5.202000076,-2.88421238,2016
53,Poland,Central and Eastern Europe,5.835,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,2.20035,POL,77.85121951,6.500576829,299740,46800,21620,37970087,1.405647474,1.38,10.557,-8.338843554,2016
54,South Korea,Eastern Asia,5.835,1.35948,0.72194,0.88645,0.25168,0.07716,0.18824,2.35015,KOR,82.27560976,6.870013415,614780,25770,10510,51217803,0.57606771,1.71,13.0815,-0.665816331,2016
55,Bolivia,Latin America and Caribbean,5.822,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698,2.91635,BOL,70.626,5.8054572,21610,24830,9050,11031822,2.028922577,2.0599999,15.75899924,-26.16833215,2016
56,Lithuania,Central and Eastern Europe,5.813,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025,2.60525,LTU,74.67073171,6.070730488,11200,3320,3640,2868231,2.818281304,0.57999998,4.436999847,-6.433983226,2016
57,Belarus,Central and Eastern Europe,5.802,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,2.38582,BLR,73.82682927,5.920911707,55210,16550,11750,9469379,2.855500041,0.75,5.7375,-10.46251978,2016
58,North Cyprus,Western Europe,5.771,1.31141,0.81826,0.84142,0.43596,0.16578,0.26322,1.93447,CYP,80.513,6.2075523,7150,720,370,1170189,0.782396095,0.61000001,4.666500077,2.556500865,2016
59,Slovenia,Central and Eastern Europe,5.768,1.29947,1.05613,0.79151,0.53164,0.03635,0.25738,1.79522,SVN,81.17560976,6.234286829,13930,2010,800,2065042,0.98446863,0.97000003,7.42050023,-1.070962869,2016
60,Peru,Latin America and Caribbean,5.743,0.99602,0.81255,0.62994,0.37502,0.05292,0.14527,2.73117,PER,76.044,5.6500692,56530,30920,9540,30926036,0.79177089,1.914920098,14.64913875,-5.94869243,2016
61,Turkmenistan,Central and Eastern Europe,5.658,1.08017,1.03817,0.44006,0.37408,0.28467,0.22567,2.21489,TKM,67.835,4.463543,72020,50030,3500,5662371,2.606088322,0.34999999,2.677499924,-2.514258283,2016
62,Mauritius,Sub-Saharan Africa,5.648,1.14372,0.75695,0.66189,0.46145,0.05203,0.36951,2.20223,MUS,74.39487805,4.820788098,4040,1880,240,1263473,0.623847924,0,0,4.820788098,2016
63,Libya,Middle East and Northern Africa,5.615,1.06688,0.95076,0.52304,0.40672,0.10339,0.17087,2.39374,LBY,72.311,4.4471265,51180,29890,1940,6492160,1.318164417,0.12,0.918,3.237051565,2016
64,Latvia,Central and Eastern Europe,5.56,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445,2.20859,LVA,74.5804878,4.176507317,7150,1990,1940,1959537,2.21842233,0.68000001,5.202000076,-7.363725811,2016
65,Cyprus,Western Europe,5.546,1.31857,0.70697,0.8488,0.29507,0.05228,0.27906,2.04497,CYP,80.513,4.3960098,7150,720,370,1170189,0.782396095,0.61000001,4.666500077,0.744958365,2016
66,Paraguay,Latin America and Caribbean,5.538,0.89373,1.11111,0.58295,0.46235,0.07396,0.25296,2.16091,PRY,73.836,3.9723768,7150,29400,10120,6777878,3.7098249,0.70999998,5.431499847,-16.17753658,2016
67,Romania,Central and Eastern Europe,5.528,1.1697,0.72803,0.67602,0.36712,0.00679,0.12889,2.45184,ROU,75.2097561,3.971075122,71140,24470,8280,19702267,1.069303673,1.09,8.3385,-4.945313552,2016
68,Estonia,Central and Eastern Europe,5.517,1.27964,1.05163,0.68098,0.41511,0.18519,0.08423,1.81985,EST,77.64146341,4.014063659,15650,1070,1330,1315790,2.288170143,0.090000004,0.688500031,2.438658445,2016
69,Jamaica,Latin America and Caribbean,5.51,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245,2.35682,JAM,74.175,3.782925,7750,800,410,2906242,0.348793088,0.57999998,4.436999847,2.235330124,2016
70,Croatia,Central and Eastern Europe,5.488,1.18649,0.60809,0.70524,0.23907,0.04002,0.18434,2.52462,HRV,78.02195122,3.80747122,16940,3740,1630,4174349,0.962019644,1.1900001,9.103500765,-4.950275347,2016
71,Somalia,Sub-Saharan Africa,5.44,0,0.33613,0.11466,0.56778,0.3118,0.27225,3.83772,SOM,56.324,2.478256,660,19490,6680,14185635,1.168937923,0.28999999,2.218499924,-0.115032693,2016
